Month,Total Size (KW)
2007-01,26
2007-02,69
2007-03,113
2007-04,158
2007-05,212
2007-06,276
2007-07,399
2007-08,541
2007-09,728
2007-10,930
2007-11,1121
2007-12,1362
2008-01,1650
2008-02,1911
2008-03,2202
2008-04,2505
2008-05,2842
2008-06,3123
2008-07,3502
2008-08,3885
2008-09,4330
2008-10,4833
2008-11,5315
2008-12,6031
2009-01,6648
2009-02,7512
2009-03,8612
2009-04,9815
2009-05,11026
2009-06,12267
2009-07,13689
2009-08,15570
2009-09,17907
2009-10,20477
2009-11,23502
2009-12,26447
2010-01,29230
2010-02,33390
2010-03,39815
2010-04,47269
2010-05,57066
2010-06,71124
2010-07,86297
2010-08,103353
2010-09,122367
2010-10,143776
2010-11,168271
2010-12,185103
2011-01,213260
2011-02,240493
2011-03,270764
2011-04,296144
2011-05,327678
2011-06,365099
2011-07,371136
2011-08,376317
2011-09,381077
2011-10,386246
2011-11,392568
2011-12,397940
2012-01,402326
2012-02,408460
2012-03,416564
2012-04,425276
2012-05,443190
2012-06,474749
2012-07,483219
2012-08,492665
2012-09,502158
2012-10,513360
2012-11,526625
2012-12,548018
2013-01,558182
2013-02,570090
2013-03,581661
2013-04,592183
2013-05,604611
2013-06,615101
2013-07,628046
2013-08,641902
2013-09,655875
2013-10,669341
2013-11,695018
2013-12,709979
2014-01,719490
2014-02,730592
2014-03,742566
2014-04,754870
2014-05,791419
2014-06,805598
2014-07,821502
2014-08,836970
2014-09,855132
2014-10,874143
2014-11,891976
2014-12,908746
2015-01,922583
2015-02,940485
2015-03,1060434
2015-04,1073439
2015-05,1089210
2015-06,1105132
2015-07,1175006
2015-08,1190288
2015-09,1206134
2015-10,1221329
2015-11,1236547
2015-12,1252447
2016-01,1262127
2016-02,1331871
2016-03,1345566
2016-04,1359123
2016-05,1373735
2016-06,1387943
2016-07,1401382
2016-08,1416554
2016-09,1434172
2016-10,1448886
2016-11,1468339
2016-12,1514311
2017-01,1526881
2017-02,1544011
2017-03,1564327
2017-04,1580475
2017-05,1607512
2017-06,1631273
2017-07,1656203
2017-08,1680486
2017-09,1704307
2017-10,1732278
2017-11,1767319
2017-12,1868906
2018-01,1928363
2018-02,1959234
2018-03,1993831
2018-04,2041362
2018-05,2157892
2018-06,2194697
2018-07,2238811
2018-08,2282318
2018-09,2534845
2018-10,2577057
2018-11,2625190
2018-12,2678002
2019-01,2710221
2019-02,2754769
2019-03,2801832
2019-04,2954009
2019-05,3005543
2019-06,3055045
2019-07,3115012
2019-08,3399920
2019-09,3456742
2019-10,3775551
2019-11,3985889
2019-12,4706304
2020-01,4755067
2020-02,4825375
2020-03,5020931
2020-04,5093767
2020-05,5165016
2020-06,5333598
2020-07,5420378
2020-08,5504402
2020-09,5604890
2020-10,5732049
2020-11,6033721
2020-12,6205998
2021-01,6273469
2021-02,6397373
2021-03,6455305
